#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09396584847788528,0.00037583974362266626,0.0003769273433200382,$R_b / R_\star$,
b_ttv_transit_7,-0.0029842394088109153,0.0009166318977503751,0.0008810323412379584,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,0.0007088925605658464,0.0008746985996461276,0.000889764531846457,TTV$_\mathrm{b;8}$,d
b_ttv_transit_9,-0.0018948888710073886,0.004191235991610247,0.0048304984318270835,TTV$_\mathrm{b;9}$,d
b_ttv_transit_10,-0.0071623703280649445,0.002029932514047428,0.0019498927404838287,TTV$_\mathrm{b;10}$,d
b_ttv_transit_11,-0.006970131900768253,0.002958293828194059,0.0027470252986381803,TTV$_\mathrm{b;11}$,d
b_ttv_transit_12,0.006753123550029973,0.0025748285260919343,0.002577103074210588,TTV$_\mathrm{b;12}$,d
b_ttv_transit_13,0.0003831425095255567,0.001474316903284619,0.00146593133982342,TTV$_\mathrm{b;13}$,d
b_ttv_transit_14,-0.010511413090913552,0.004148911410755414,0.004261231393122102,TTV$_\mathrm{b;14}$,d
b_ttv_transit_15,0.00012198926928010806,0.03369966389045401,0.03304370467424781,TTV$_\mathrm{b;15}$,d
b_ttv_transit_16,-0.00012270100659504332,0.03380076710980799,0.033417702279498446,TTV$_\mathrm{b;16}$,d
