####time,flux,flux_err
2.459816086333999876e+06,9.965950000000000086e-01,1.374000000000000004e-03
2.459816087474000175e+06,9.956329999999999902e-01,1.374000000000000004e-03
2.459816088800000027e+06,1.002931999999999935e+00,1.376000000000000053e-03
2.459816090121999849e+06,1.001940000000000053e+00,1.369999999999999907e-03
2.459816091446000151e+06,1.000261000000000067e+00,1.368000000000000075e-03
2.459816092587000225e+06,9.983319999999999972e-01,1.364999999999999894e-03
2.459816093727999832e+06,9.955610000000000293e-01,1.360000000000000098e-03
2.459816094868999906e+06,9.974549999999999805e-01,1.360000000000000098e-03
2.459816097508999985e+06,1.002474000000000087e+00,1.368999999999999991e-03
2.459816098650000058e+06,1.001228000000000007e+00,1.366999999999999943e-03
2.459816099969999865e+06,9.957129999999999592e-01,1.360000000000000098e-03
2.459816101110999938e+06,9.977850000000000330e-01,1.361000000000000014e-03
2.459816102252000012e+06,9.964319999999999844e-01,1.361000000000000014e-03
2.459816103571999818e+06,9.970299999999999718e-01,1.363999999999999978e-03
2.459816104712000117e+06,1.000000000000000000e+00,1.373000000000000088e-03
2.459816105855000205e+06,1.002772999999999914e+00,1.379000000000000017e-03
2.459816107173999771e+06,1.004321000000000019e+00,1.392999999999999924e-03
2.459816108316000085e+06,9.965680000000000094e-01,1.379999999999999933e-03
2.459816109457000159e+06,9.986169999999999769e-01,1.376000000000000053e-03
2.459816110597999766e+06,1.002369999999999983e+00,1.371000000000000040e-03
2.459816111918000039e+06,1.003991999999999996e+00,1.389000000000000044e-03
2.459816113059000112e+06,1.000008000000000008e+00,1.374999999999999920e-03
2.459816114200999960e+06,1.001123999999999903e+00,1.382999999999999898e-03
2.459816115530000068e+06,9.999569999999999848e-01,1.363000000000000062e-03
2.459816116872000042e+06,1.002623999999999960e+00,1.363000000000000062e-03
2.459816118013999891e+06,9.960170000000000412e-01,1.356000000000000000e-03
2.459816119336000178e+06,1.002218000000000053e+00,1.363000000000000062e-03
2.459816120476999786e+06,1.002382000000000106e+00,1.363999999999999978e-03
2.459816121799000073e+06,1.001292999999999989e+00,1.361999999999999929e-03
2.459816124259000178e+06,9.994880000000000431e-01,1.363999999999999978e-03
2.459816125585999805e+06,9.946540000000000381e-01,1.351999999999999903e-03
2.459816126726999879e+06,1.001092000000000093e+00,1.368000000000000075e-03
2.459816127867999952e+06,1.004045999999999994e+00,1.374000000000000004e-03
2.459816129213999957e+06,9.987289999999999779e-01,1.366999999999999943e-03
2.459816130541000050e+06,1.000378999999999907e+00,1.374000000000000004e-03
2.459816131682000123e+06,1.003597000000000072e+00,1.378000000000000102e-03
2.459816133009999990e+06,1.003004999999999924e+00,1.382999999999999898e-03
2.459816134151000064e+06,9.974659999999999638e-01,1.376999999999999969e-03
2.459816135292999912e+06,1.000836000000000059e+00,1.382999999999999898e-03
2.459816136433999985e+06,9.984380000000000477e-01,1.409000000000000096e-03
2.459816137575000059e+06,1.000887000000000082e+00,1.407000000000000048e-03
2.459816138716000132e+06,9.961149999999999727e-01,1.407999999999999963e-03
2.459816140044000000e+06,9.974560000000000093e-01,1.412999999999999977e-03
2.459816141185000073e+06,9.902969999999999828e-01,1.410999999999999928e-03
2.459816143652999774e+06,9.980069999999999775e-01,1.420000000000000038e-03
2.459816144977999851e+06,9.988580000000000236e-01,1.420999999999999954e-03
2.459816146118999925e+06,9.908090000000000508e-01,1.415999999999999941e-03
2.459816147259999998e+06,9.908660000000000245e-01,1.417000000000000074e-03
2.459816148401999846e+06,9.949400000000000466e-01,1.420999999999999954e-03
2.459816149542999920e+06,9.943229999999999569e-01,1.423999999999999919e-03
2.459816150683999993e+06,9.925789999999999891e-01,1.423999999999999919e-03
2.459816151823999826e+06,9.960109999999999797e-01,1.440000000000000091e-03
2.459816153167999815e+06,9.913579999999999615e-01,1.436999999999999909e-03
2.459816154502999969e+06,9.946479999999999766e-01,1.446999999999999936e-03
2.459816155644000042e+06,9.968350000000000266e-01,1.456000000000000046e-03
2.459816156961999834e+06,9.966570000000000151e-01,1.449999999999999900e-03
2.459816158286000136e+06,9.954619999999999580e-01,1.446000000000000020e-03
2.459816159427000210e+06,9.885979999999999768e-01,1.435999999999999993e-03
2.459816160567999817e+06,9.882469999999999866e-01,1.438999999999999958e-03
2.459816161708999891e+06,9.909850000000000048e-01,1.446000000000000020e-03
2.459816162851000205e+06,9.917390000000000372e-01,1.448000000000000068e-03
2.459816163991999812e+06,9.954739999999999700e-01,1.454999999999999913e-03
2.459816165132999886e+06,9.919270000000000032e-01,1.454999999999999913e-03
2.459816167415000033e+06,9.919400000000000439e-01,1.446000000000000020e-03
2.459816168742000125e+06,9.900910000000000544e-01,1.443999999999999971e-03
2.459816170059000142e+06,9.932769999999999655e-01,1.497999999999999983e-03
2.459816171200000215e+06,9.860510000000000108e-01,1.459999999999999926e-03
2.459816172532000113e+06,9.869229999999999947e-01,1.461999999999999975e-03
2.459816173855999950e+06,9.836209999999999676e-01,1.469000000000000037e-03
2.459816174997000024e+06,9.879620000000000068e-01,1.482000000000000027e-03
2.459816176320999861e+06,9.873399999999999954e-01,1.510000000000000057e-03
2.459816177651000209e+06,9.909630000000000383e-01,1.525000000000000097e-03
2.459816178791999817e+06,9.898700000000000276e-01,1.492999999999999969e-03
2.459816179932999890e+06,9.914420000000000455e-01,1.456000000000000046e-03
2.459816181073999964e+06,9.930689999999999795e-01,1.500000000000000031e-03
2.459816182215000037e+06,9.912459999999999605e-01,1.510000000000000057e-03
2.459816183532999828e+06,9.901060000000000416e-01,1.479999999999999979e-03
2.459816184851999860e+06,9.934349999999999570e-01,1.471000000000000085e-03
2.459816185992999934e+06,9.893619999999999637e-01,1.482000000000000027e-03
2.459816187134999782e+06,9.922980000000000134e-01,1.471000000000000085e-03
2.459816188275000080e+06,9.924819999999999753e-01,1.459000000000000010e-03
2.459816189608999994e+06,9.880179999999999518e-01,1.448999999999999984e-03
2.459816190748999827e+06,9.871910000000000407e-01,1.445000000000000104e-03
2.459816191889999900e+06,9.901659999999999906e-01,1.445000000000000104e-03
2.459816193030999973e+06,9.864819999999999700e-01,1.433000000000000029e-03
2.459816194172000047e+06,9.898829999999999574e-01,1.430999999999999980e-03
2.459816195313000120e+06,9.874220000000000219e-01,1.435999999999999993e-03
2.459816196454000194e+06,9.906840000000000090e-01,1.441999999999999922e-03
2.459816197788999882e+06,9.913079999999999670e-01,1.441999999999999922e-03
2.459816199111000169e+06,9.902100000000000346e-01,1.436999999999999909e-03
2.459816200251999777e+06,9.905540000000000456e-01,1.443000000000000055e-03
2.459816201570000034e+06,9.893570000000000420e-01,1.441999999999999922e-03
2.459816202887999825e+06,9.925749999999999851e-01,1.451000000000000033e-03
2.459816204028999899e+06,9.959400000000000475e-01,1.596999999999999895e-03
2.459816205358000007e+06,9.907700000000000395e-01,1.562000000000000020e-03
2.459816206689000130e+06,9.904819999999999736e-01,1.518000000000000035e-03
2.459816209154000040e+06,9.943980000000000041e-01,1.583999999999999905e-03
2.459816210473999847e+06,9.903800000000000381e-01,1.585000000000000037e-03
2.459816211614999920e+06,9.867820000000000480e-01,1.583999999999999905e-03
2.459816212940999772e+06,9.911799999999999500e-01,1.603000000000000041e-03
2.459816214081999846e+06,9.881410000000000471e-01,1.559000000000000056e-03
2.459816215412000194e+06,9.872800000000000464e-01,1.539000000000000003e-03
2.459816216744999867e+06,9.887669999999999515e-01,1.536999999999999955e-03
2.459816217885999940e+06,9.930889999999999995e-01,1.590000000000000050e-03
2.459816219204999972e+06,9.822830000000000172e-01,1.557000000000000007e-03
2.459816220524000004e+06,9.859989999999999588e-01,1.582000000000000073e-03
2.459816221665000077e+06,9.877850000000000241e-01,1.592000000000000099e-03
2.459816222984999884e+06,9.952220000000000510e-01,1.621999999999999961e-03
2.459816224303000141e+06,9.860029999999999628e-01,1.616000000000000032e-03
2.459816225444000214e+06,9.948350000000000248e-01,1.624999999999999925e-03
2.459816226584000047e+06,9.881680000000000463e-01,1.616999999999999948e-03
2.459816227725999895e+06,9.885340000000000238e-01,1.632999999999999903e-03
2.459816229055000003e+06,9.896859999999999546e-01,1.549000000000000030e-03
2.459816230196000077e+06,9.892579999999999707e-01,1.543000000000000101e-03
2.459816231532999780e+06,9.844049999999999745e-01,1.531000000000000026e-03
2.459816232857000083e+06,9.885380000000000278e-01,1.534999999999999906e-03
2.459816234172999859e+06,9.873119999999999674e-01,1.667999999999999995e-03
2.459816235313999932e+06,9.856000000000000316e-01,1.601999999999999908e-03
2.459816236455999780e+06,9.882210000000000161e-01,1.561000000000000104e-03
2.459816237596999854e+06,9.943189999999999529e-01,1.593000000000000015e-03
2.459816238737999927e+06,9.874829999999999997e-01,1.616000000000000032e-03
2.459816239879000001e+06,9.866509999999999447e-01,1.626999999999999974e-03
2.459816241020999849e+06,9.923560000000000159e-01,1.631000000000000071e-03
2.459816242161000147e+06,9.866669999999999607e-01,1.610000000000000103e-03
2.459816243302000221e+06,9.904479999999999951e-01,1.590999999999999966e-03
2.459816244442999829e+06,9.949949999999999628e-01,1.592000000000000099e-03
2.459816245583999902e+06,9.922969999999999846e-01,1.595000000000000064e-03
2.459816246724999975e+06,9.913509999999999822e-01,1.600999999999999993e-03
2.459816247866999824e+06,9.889210000000000500e-01,1.606999999999999922e-03
2.459816249007999897e+06,9.892520000000000202e-01,1.610000000000000103e-03
2.459816250148000196e+06,9.911609999999999587e-01,1.618999999999999996e-03
2.459816251288999803e+06,9.875549999999999606e-01,1.639999999999999965e-03
2.459816252431000117e+06,9.872149999999999537e-01,1.698999999999999989e-03
2.459816253572000191e+06,9.851509999999999989e-01,1.719000000000000042e-03
2.459816254712999798e+06,9.828989999999999672e-01,1.693000000000000060e-03
2.459816255853999872e+06,9.930440000000000378e-01,1.701000000000000038e-03
2.459816256994999945e+06,9.935000000000000497e-01,1.753999999999999917e-03
2.459816258136000019e+06,9.989470000000000294e-01,1.799000000000000035e-03
2.459816259277000092e+06,9.833889999999999576e-01,1.768999999999999956e-03
2.459816260418000165e+06,9.954929999999999612e-01,1.758000000000000014e-03
2.459816261558999773e+06,9.909649999999999848e-01,1.765000000000000076e-03
2.459816262701000087e+06,9.939820000000000322e-01,1.771000000000000005e-03
2.459816263842000160e+06,9.915019999999999945e-01,1.773000000000000053e-03
2.459816265165999997e+06,9.918970000000000287e-01,1.781999999999999947e-03
2.459816266307999846e+06,9.918249999999999567e-01,1.765999999999999992e-03
2.459816267632999923e+06,9.865639999999999965e-01,1.758999999999999930e-03
2.459816268951999955e+06,9.890029999999999655e-01,1.729000000000000068e-03
2.459816270093000028e+06,9.879980000000000429e-01,1.719999999999999958e-03
2.459816271416000091e+06,9.925119999999999498e-01,1.708000000000000100e-03
2.459816272737000138e+06,9.995159999999999600e-01,1.730999999999999900e-03
2.459816273878999986e+06,9.887610000000000010e-01,1.711000000000000064e-03
2.459816275208000094e+06,9.897629999999999484e-01,1.688999999999999963e-03
2.459816276349999942e+06,9.939120000000000177e-01,1.680000000000000070e-03
2.459816277668000199e+06,9.883009999999999851e-01,1.660000000000000017e-03
2.459816278992000036e+06,9.938160000000000327e-01,1.667999999999999995e-03
2.459816280133999884e+06,9.903319999999999901e-01,1.667000000000000079e-03
2.459816281458999962e+06,9.905939999999999745e-01,1.670000000000000043e-03
2.459816282780000009e+06,9.896270000000000344e-01,1.667999999999999995e-03
2.459816284121999983e+06,9.907249999999999668e-01,1.654000000000000088e-03
2.459816285263000056e+06,9.930419999999999803e-01,1.662000000000000066e-03
2.459816286404999904e+06,9.832889999999999686e-01,1.650999999999999907e-03
2.459816287545000203e+06,9.938569999999999904e-01,1.665999999999999946e-03
2.459816288871999830e+06,9.883189999999999475e-01,1.654000000000000088e-03
2.459816290194000117e+06,9.861339999999999550e-01,1.641000000000000097e-03
2.459816291335000191e+06,9.880250000000000421e-01,1.641000000000000097e-03
2.459816292475999799e+06,9.880729999999999791e-01,1.634000000000000036e-03
2.459816293616999872e+06,9.916289999999999827e-01,1.629000000000000023e-03
2.459816294757999945e+06,9.899040000000000061e-01,1.623000000000000094e-03
2.459816295899000019e+06,9.921579999999999844e-01,1.621000000000000045e-03
2.459816297040000092e+06,9.891999999999999682e-01,1.618999999999999996e-03
2.459816298361000139e+06,9.930250000000000465e-01,1.618999999999999996e-03
2.459816299502000213e+06,9.892689999999999539e-01,1.613000000000000067e-03
2.459816300828000065e+06,9.855300000000000171e-01,1.611999999999999935e-03
2.459816303286000155e+06,9.925190000000000401e-01,1.621999999999999961e-03
2.459816304601999931e+06,9.925730000000000386e-01,1.636000000000000084e-03
2.459816305743000004e+06,9.873119999999999674e-01,1.628000000000000107e-03
2.459816306884999853e+06,9.895380000000000287e-01,1.639000000000000049e-03
2.459816308025000151e+06,9.923499999999999543e-01,1.639000000000000049e-03
2.459816309166999999e+06,9.930809999999999915e-01,1.631999999999999987e-03
2.459816310308999848e+06,9.964340000000000419e-01,1.629000000000000023e-03
2.459816311449999921e+06,9.920510000000000161e-01,1.621999999999999961e-03
2.459816312590999994e+06,9.980339999999999767e-01,1.618999999999999996e-03
2.459816313910000026e+06,9.921010000000000106e-01,1.611000000000000019e-03
2.459816315051000100e+06,9.891799999999999482e-01,1.606999999999999922e-03
2.459816316378000192e+06,9.925009999999999666e-01,1.618000000000000081e-03
2.459816317697000224e+06,9.988709999999999534e-01,1.634000000000000036e-03
2.459816318837999832e+06,9.907829999999999693e-01,1.621000000000000045e-03
2.459816320162000135e+06,9.870849999999999902e-01,1.616999999999999948e-03
2.459816321303000208e+06,9.953980000000000050e-01,1.626000000000000058e-03
2.459816322443999816e+06,9.914450000000000207e-01,1.624000000000000010e-03
2.459816323586000130e+06,9.906930000000000458e-01,1.624000000000000010e-03
2.459816324727000203e+06,9.879559999999999453e-01,1.621000000000000045e-03
2.459816326045999769e+06,9.927460000000000173e-01,1.629999999999999939e-03
2.459816327370999847e+06,9.944399999999999906e-01,1.634999999999999952e-03
2.459816328511000145e+06,9.981529999999999569e-01,1.644999999999999978e-03
2.459816329830999952e+06,9.978989999999999805e-01,1.645999999999999894e-03
2.459816330972999800e+06,9.904269999999999463e-01,1.628000000000000107e-03
2.459816332303000148e+06,9.943659999999999721e-01,1.613000000000000067e-03
2.459816333626000211e+06,9.907049999999999468e-01,1.582000000000000073e-03
2.459816334950999822e+06,9.950799999999999645e-01,1.574000000000000095e-03
2.459816336091999896e+06,9.897449999999999859e-01,1.564999999999999985e-03
2.459816337408999912e+06,9.858090000000000463e-01,1.552999999999999910e-03
2.459816338549999986e+06,9.872640000000000304e-01,1.554000000000000043e-03
2.459816339864999987e+06,9.909360000000000390e-01,1.551999999999999994e-03
2.459816341184000019e+06,9.906399999999999650e-01,1.541999999999999968e-03
2.459816342325999867e+06,9.873709999999999987e-01,1.539000000000000003e-03
2.459816343652000185e+06,9.939989999999999659e-01,1.549999999999999946e-03
2.459816344974000007e+06,9.913530000000000397e-01,1.554999999999999959e-03
2.459816346115000080e+06,9.928420000000000023e-01,1.557000000000000007e-03
2.459816347440000158e+06,9.939210000000000544e-01,1.557999999999999923e-03
2.459816348759000190e+06,9.897620000000000307e-01,1.551999999999999994e-03
2.459816349899999797e+06,9.950480000000000436e-01,1.551999999999999994e-03
2.459816351224999875e+06,9.931699999999999973e-01,1.546999999999999981e-03
2.459816352547999937e+06,9.970250000000000501e-01,1.551000000000000078e-03
2.459816353689999785e+06,9.951900000000000190e-01,1.551000000000000078e-03
2.459816354830999859e+06,9.943419999999999481e-01,1.549000000000000030e-03
2.459816355971999932e+06,9.901330000000000409e-01,1.546000000000000065e-03
2.459816357113000005e+06,9.951950000000000518e-01,1.552999999999999910e-03
2.459816358254999854e+06,9.937409999999999854e-01,1.559999999999999972e-03
2.459816359569999855e+06,9.876409999999999911e-01,1.569999999999999998e-03
2.459816360892000142e+06,9.901600000000000401e-01,1.595000000000000064e-03
2.459816362033000216e+06,9.937939999999999552e-01,1.606000000000000006e-03
2.459816363173999824e+06,9.904610000000000358e-01,1.606999999999999922e-03
2.459816364314999897e+06,9.845930000000000515e-01,1.613999999999999983e-03
2.459816365455999970e+06,9.852840000000000487e-01,1.626000000000000058e-03
2.459816366597000044e+06,9.836390000000000411e-01,1.631000000000000071e-03
2.459816367738999892e+06,9.957629999999999537e-01,1.650999999999999907e-03
2.459816370391000062e+06,9.983250000000000179e-01,1.641000000000000097e-03
2.459816371532999910e+06,9.967989999999999906e-01,1.632999999999999903e-03
2.459816372855000198e+06,9.982140000000000457e-01,1.613999999999999983e-03
2.459816374170999974e+06,9.913279999999999870e-01,1.600999999999999993e-03
2.459816375312000047e+06,9.974739999999999718e-01,1.603999999999999957e-03
2.459816376639000140e+06,9.897209999999999619e-01,1.585000000000000037e-03
2.459816377954000141e+06,9.922119999999999829e-01,1.580000000000000024e-03
2.459816379095000215e+06,9.977169999999999650e-01,1.585000000000000037e-03
2.459816380235999823e+06,9.866019999999999790e-01,1.572000000000000047e-03
2.459816381376999896e+06,1.001770000000000049e+00,1.613000000000000067e-03
2.459816382517999969e+06,9.935629999999999740e-01,1.593000000000000015e-03
2.459816383841999806e+06,9.957589999999999497e-01,1.600999999999999993e-03
2.459816384982999880e+06,9.957770000000000232e-01,1.583999999999999905e-03
2.459816386125000194e+06,9.943650000000000544e-01,1.577000000000000060e-03
2.459816387265999801e+06,9.929080000000000128e-01,1.595999999999999979e-03
2.459816388406999875e+06,9.973859999999999948e-01,1.601999999999999908e-03
2.459816389549000189e+06,1.005902999999999992e+00,1.744000000000000107e-03
2.459816390691000037e+06,9.959430000000000227e-01,1.699999999999999905e-03
2.459816393159000203e+06,1.002491000000000021e+00,1.691000000000000012e-03
2.459816394485999830e+06,1.008410000000000029e+00,1.672000000000000092e-03
2.459816395804000087e+06,9.918780000000000374e-01,1.652999999999999955e-03
2.459816396945999935e+06,9.920970000000000066e-01,1.621000000000000045e-03
2.459816398271999788e+06,9.974840000000000373e-01,1.636000000000000084e-03
2.459816399594000075e+06,1.004040000000000044e+00,1.618000000000000081e-03
2.459816400735000148e+06,9.950820000000000221e-01,1.564000000000000069e-03
2.459816402061999775e+06,9.927270000000000261e-01,1.574000000000000095e-03
2.459816403202999849e+06,9.932490000000000485e-01,1.565999999999999901e-03
2.459816404343999922e+06,9.960569999999999702e-01,1.556000000000000091e-03
2.459816405485999770e+06,9.920970000000000066e-01,1.534999999999999906e-03
2.459816406626999844e+06,9.954819999999999780e-01,1.557999999999999923e-03
2.459816407769000158e+06,9.935929999999999485e-01,1.603999999999999957e-03
2.459816408910000231e+06,1.003228000000000009e+00,1.660999999999999933e-03
2.459816410052000079e+06,9.932830000000000270e-01,1.562999999999999936e-03
