#name,value,fit,bounds,label,unit,truth
#companion b astrophysical params,,,,,,
host_ldc_q1_OMES_I,0.5,0,uniform 0.0 1.0,$q_{1; \mathrm{OMES_I}}$,,0.64
host_ldc_q2_OMES_I,0.5,0,uniform 0.0 1.0,$q_{2; \mathrm{OMES_I}}$,,0.38
#errors per instrument,,,,,,
ln_err_flux_TESS_1800s,-6.818720592807077,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_1800s}}$,$\log{ \mathrm{rel. flux.} }$,-6.818720592807077
ln_err_flux_TESS_600s,-5.1586228444383835,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_600s}}$,$\log{ \mathrm{rel. flux.} }$,-5.1586228444383835
ln_err_flux_TESS_180s,-5.695841180628701,0,uniform -8 -5,$\log{\sigma_\mathrm{TESS_180s}}$,$\log{ \mathrm{rel. flux.} }$,-5.695841180628701
ln_err_flux_ASTEP_R,-5,0,uniform -8 -5,$\log{\sigma_\mathrm{ASTEP_R}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_ASTEP_B,-5,0,uniform -8 -5,$\log{\sigma_\mathrm{ASTEP_B}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_ASTEP_Rc,-5,0,uniform -8 -5,$\log{\sigma_\mathrm{ASTEP_Rc}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_CHAT_I,-5,0,uniform -8 -5,$\log{\sigma_\mathrm{CHAT_I}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_OMES_R,-5,0,uniform -8 -5,$\log{\sigma_\mathrm{OMES_R}}$,$\log{ \mathrm{rel. flux.} }$,
ln_err_flux_OMES_I,-5,0,uniform -8 -5,$\log{\sigma_\mathrm{OMES_I}}$,$\log{ \mathrm{rel. flux.} }$,
#baseline per instrument,,,,,,
baseline_offset_flux_TESS_1800s,1.9076495754509742e-05,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_1800s)}$,,1.9076495754509742e-05
baseline_offset_flux_TESS_600s,-2.1591541868014492e-05,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_600s)}$,,-2.1591541868014492e-05
baseline_offset_flux_TESS_180s,-9.290913971707533e-05,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (TESS_180s)}$,,-9.290913971707533e-05
baseline_offset_flux_ASTEP_R,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (ASTEP_R)}$,,
baseline_offset_flux_ASTEP_B,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (ASTEP_B)}$,,
baseline_offset_flux_ASTEP_Rc,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (ASTEP_Rc)}$,,
baseline_offset_flux_CHAT_I,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (CHAT_I)}$,,
baseline_offset_flux_OMES_R,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (OMES_R)}$,,
baseline_offset_flux_OMES_I,0,0,uniform -0.003 0.003,$\mathrm{gp: \log{\sigma} (OMES_I)}$,,
